objectid,name,address,address2,municipal,state,zipcode,latitude,longitude,prim_type
1,7-Eleven,462 Washington St, ,Brighton,MA,2135,42.348527,-71.15896,Convenience
2,7-Eleven,131 Middlesex Tpke, ,Burlington,MA,1803,42.487965,-71.221743,Convenience
3,7-Eleven,226 Winthrop Ave, ,Lawrence,MA,1843,42.686019,-71.139769,Convenience
4,7-Eleven,1693 Route 6, ,Somerset,MA,2726,41.754381,-71.151866,Convenience
5,7-Eleven,226 Broadway, ,Taunton,MA,2780,41.920467,-71.09132,Convenience
6,7-Eleven,173 Cambridge Rd, ,Woburn,MA,1801,42.468077,-71.179156,Convenience
7,7-Eleven Inc,502 Riverside Ave, ,Medford,MA,2155,42.410292,-71.085579,Convenience
8,Circle K,15 Eastern Ave, ,Fall River,MA,2723,41.697007,-71.131404,Convenience
9,Cumberland Farms,79 Maple St, ,Danvers,MA,1923,42.585748,-70.97863,Convenience
10,Cumberland Farms,28a Main St, ,Groton,MA,1450,42.597577,-71.562676,Convenience
11,Cumberland Farms,56 Aiken Ave, ,Lowell,MA,1850,42.658243,-71.311991,Convenience
12,Cumberland Farms,25 Market St, ,Swansea,MA,2777,41.768938,-71.265775,Convenience
13,Cumberland Farms Food Store,65 Main St, ,Andover,MA,1810,42.654967,-71.139882,Convenience
14,Cumberland Farms Food Store,651 Washington St, ,Attleboro,MA,2703,41.910003,-71.363795,Convenience
15,Cumberland Farms Food Store,20 Main St, ,Topsfield,MA,1983,42.638876,-70.950933,Convenience
16,Cumberland Farms Inc, , ,Framingham,MA,1702,42.286959,-71.422379,Convenience
17,Cumberland Farms Inc,124 Wilson Ave, ,Spencer,MA,1562,42.20282,-71.948597,Convenience
18,7-Eleven,352 Main St, ,Falmouth,MA,2540,41.552233,-70.612664,Convenience
19,1 Quik Stop,206 N Main St, ,Whitinsville,MA,1588,42.116828,-71.683533,Convenience
20,106 Mini Mart,2107 Plymouth St # A, ,East Bridgewater,MA,2333,42.029194,-70.941534,Convenience
21,123 Convenience Inc,102 Belmont St, ,Rockland,MA,2370,42.131276,-70.919785,Convenience
22,129 Quickstop,12 Vernon St, ,Wakefield,MA,1880,42.503295,-71.066966,Convenience
23,24 Seven,655 Warren St, ,Dorchester,MA,2121,42.309813,-71.082883,Convenience
24,24 Seven Convenience Store,655 Warren St, ,Dorchester,MA,2121,42.309813,-71.082883,Convenience
25,3 A Convenient,276 Cambridge St, ,Burlington,MA,1803,42.514639,-71.203945,Convenience
26,3 J Market,88 Auburn St, ,Lawrence,MA,1841,42.711543,-71.170448,Convenience
27,3 Phase Elevator Corp,41 Brooks Dr # 3a, ,Braintree,MA,2184,42.211018,-71.038457,Convenience
28,3-In-1 Superette Inc,203 Elliot St, ,Newton,MA,2464,42.313066,-71.217534,Convenience
29,350 Food Mart,350 Broadway, ,Somerville,MA,2145,42.393271,-71.095229,Convenience
611,Food Land,199 Adams St, ,Boston,MA,2122,42.302039,-71.06015,Convenience
30,389 Moody Street Convenience,389 Moody St, ,Waltham,MA,2453,42.369444,-71.237639,Convenience
31,4 M's Variety Inc,271 School St, ,Lowell,MA,1854,42.642723,-71.325815,Convenience
32,4 Way Convenience,410 Center St, ,Randolph,MA,2368,42.155063,-71.028351,Convenience
33,44 Express Convenience Store,400 Winthrop St, ,Taunton,MA,2780,41.885773,-71.134785,Convenience
34,5 Yogi Convenience Store,6 Bridge Rd, ,Salisbury,MA,1952,42.843031,-70.86361,Convenience
35,660 Corp,543 Commonwealth Ave, ,Boston,MA,2215,42.349045,-71.097122,Convenience
36,7 Day Convenience Store,668 Winthrop Ave, ,Revere,MA,2151,42.397167,-70.991388,Convenience
37,7 Days Convenience Store,386 Columbia Rd # 8, ,Hanover,MA,2339,42.109711,-70.81153,Convenience
38,7 Pantry,1699 Shawsheen St, ,Tewksbury,MA,1876,42.621552,-71.183455,Convenience
39,7-Eleven,509 Cambridge St, ,Allston,MA,2134,42.353432,-71.138482,Convenience
40,7-Eleven,110 N Main St, ,Attleboro,MA,2703,41.946859,-71.288126,Convenience
41,7-Eleven,1011 Route 28, ,Bass River,MA,2664,41.657562,-70.203768,Convenience
42,7-Eleven,826 Boston Rd, ,Billerica,MA,1821,42.531505,-71.229025,Convenience
43,7-Eleven,390 Washington St, ,Braintree,MA,2184,42.219386,-71.003192,Convenience
44,7-Eleven,504 Washington St, ,Canton,MA,2021,42.151871,-71.149015,Convenience
45,7-Eleven,1149 Falmouth Rd, ,Centerville,MA,2632,41.658307,-70.329293,Convenience
46,7-Eleven,280 Main St, ,Everett,MA,2149,42.410421,-71.062871,Convenience
47,7-Eleven,543 Ferry St, ,Everett,MA,2149,42.420014,-71.053948,Convenience
48,7-Eleven,664 Union St, ,Franklin,MA,2038,42.066949,-71.398297,Convenience
49,7-Eleven,503 River St, ,Haverhill,MA,1832,42.76531,-71.100895,Convenience
50,7-Eleven,687 S Main St, ,Haverhill,MA,1835,42.759038,-71.097159,Convenience
51,7-Eleven,539 Pleasant St, ,Holyoke,MA,1040,42.211321,-72.620809,Convenience
52,7-Eleven,494 Bridge St, ,Lowell,MA,1850,42.651807,-71.303444,Convenience
53,7-Eleven,3 Lynnfield St, ,Lynn,MA,1904,42.485557,-70.960857,Convenience
54,7-Eleven,169 Salem St, ,Malden,MA,2148,42.429425,-71.061129,Convenience
